ST#UN;ST#ID;STA_NO;STA_ID;STA_NAME;MANAG_NO;ROAD_NO;DIV_NO;PROV_NO;PR_PORT;SIGN;GAUGE_KIND;ST_WORK;PARAGRAPH;ST#BGN;ST#END
398805400;3988054;"006806";;"СУХЭ-БАТОР";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398805500;3988055;"009804";;"ХОЙТ";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398805600;3988056;"009908";;"5 КМ";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398805700;3988057;"000354";;"РАДЖИН";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398805800;3988058;"000369";;"ДЗУН-ХАРА";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398805900;3988059;"000373";;"УНСАН";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398806000;3988060;"000458";;"МАНДАЛ";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398806100;3988061;"000513";;"НОГОТТНТОЛГОЙ";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398806200;3988062;"000595";;"ОРХОН";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398806300;3988063;"009965";;"СКАНДАВА";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
398806400;3988064;"009975";;"КОТКА";0;0;;;0;;;;;"2015-02-26 08:25:36.777777";"2099-01-01 00:00:00.0"
